district	name	address	phone	note
台北市	不萊梅特殊寵物專科醫院	台北市大同區民權西路227號	02-25993907	
台北市	台大動物醫院	台北市大安區基隆路三段153號	02-27396828	
台北市	伊甸動物醫院	台北市中山區北安路554巷33號1樓	02-85097579	
台北市	亞馬森特寵專科醫院	台北市內湖區成功路四段311號	02-87923248	
台北市	中研動物醫院	台北市南港區研究院路一段72號	02-26512100	
台北市	良醫動物醫院	台北市松山區八德路四段188號	02-27615091	
台北市	澄毅動物醫院	台北市大安區安和路2段171巷13號1樓	02-2733-4341	
台北市	牧光特殊寵物專科醫院	臺北市大同區民族西路65號	02-25926590	捷運圓山站1號出口步行五分鐘
台北市	沐沐鼠兔鳥爬專科動物醫院（預約制）	台北市中山區龍江路78號	02 7713 7707	
台北市	萊特動物醫院	台北市大安區辛亥路一段50號	02 2365 8628	
				
				
新北市	剛果非犬貓動物醫院	新北市新店區中興路三段259號	02-86655702	已不看陸龜
新北市	展翔動物醫院	新北市板橋區南雅西路二段97號	02-89650318	
新北市	馬達加斯加動物醫院	新北市板橋區文化路二段500號	02-87595001	
新北市	台大文仁動物醫院	新北市板橋區篤行路三段18號	02-26833122	
新北市	慈恩動物醫院	新北市永和區永利路142號	02-32335195	
新北市	嘉德動物醫院	新北市汐止區福德一路206巷1號	02-26934809	
新北市	獴獴加非犬貓專科醫院	新北市三重區重新路四段20號	02-29792232	
新北市	金氏動物醫院	新北市新店區中興路一段208號	02 8914 6999	
新北市	頂點動物醫院	新北市永和區仁愛路87號	02 8921 1700	
新北市	綠野特殊寵物專科醫院	新北市中和區景平路335-1號	02 2946 8818	
				
宜蘭縣	上寶貝動物醫院	宜蘭縣羅東鎮純精路二段137號	03 951 7137	
宜蘭縣	東園動物醫院	宜蘭縣宜蘭市幸福路9號	03-9327752	
宜蘭縣	噶瑪蘭動物醫院	宜蘭縣宜蘭市新興路119號	03-9326119	
宜蘭市	目前沒有			
基隆市	汎汶動物醫院	基隆市仁愛區仁四路17之1號(基隆廟口阿華炒麵附近)	02-24260870	
				
				
桃園縣	目前沒有			
桃園市	普羅動物醫院 	桃園市桃園區泰成路15號	03-3789900	
桃園市	晨曦動物醫院	桃園市桃園區國際路二段194號	03-3600922	
桃園市	逗號動物醫院	桃園市桃園區中山路517號	03-3322212	
桃園市	原野動物專科醫院	桃園市平鎮區廣德街12號1樓	03-4942020	
桃園市	野森非犬貓動物醫院	桃園市中壢區民權路332號	03-4910302	
				
新竹市	大福小幸動物警院	新竹市香山區經國路三段92巷6號	03-5300175	
新竹市	新竺動物醫院	新竹市竹光路98號	03-5429961	
新竹市	秘境野生動物專科醫院	新竹縣竹北市自強六街15號	03-6685559	
新竹市	艾諾動物醫院	新竹市東區科學園路106號1樓	03 577 5899	
新竹市	度度鳥特殊寵物專科醫院	新竹市東區西大路315巷7號1樓	0965-109093	
新竹縣	懷恩動物醫院	新竹縣湖口鄉中山五街59號	03-5990477	
新竹縣	秘境野生動物專科醫院	新竹縣竹北市自強六街15號	03-668 5559	
				
苗栗縣	苗栗鴻成賽鴿醫院 備註：邱治璋 醫生	苗栗縣公館鄉石墻村8鄰177號	03-7232908 0919-705290	
				
				
台中市	艾利動物醫院	台中市西屯區惠中路二段41號	04-2258-9518	
台中市	侏儸紀野生動物醫院	台中市西區英才路625號	04-23757808	
台中市	全國動物醫院	台中市西區五權八街100號	0800-784666	
台中市	小島動物醫院	台中市西區三民西路83號	04-23767158	
台中市	春天動物醫院	台中市北區進化北路294先	04-77350838	
台中市	感恩動物醫院	台中市北區忠明路131號	04-23202590	
台中市	中興大學附屬動物醫院野動科	台中市西區向上路一段21號	04-22870180	
台中市	凡賽爾動物醫院	台中市西屯區重慶路8號	04-23121880	
台中市	毛克利野生動物醫院	台中市北屯區文心路四段690號	04-22386609	
台中市	中山動物醫院	台中市沙鹿區台灣大道七段1000號	04-26622403	
台中市	亞東綜合動物醫院	台中市北屯區昌平路一段27號	04-2233 6101	
台中市	羽森林動物醫院	台中市東區旱溪西路一段552號	04-2213 2373	
台中市	達爾文動物醫院	台中市西區博館路157號	04-2326-2759	
台中市	英國皇家動物醫院 	台中市西屯區河南路二段429號B1之2 	04-27073887 	
台中市	歐米咖動物醫院	台中市南區建國南路一段246號	04-2260-2199	
				
				
彰化縣	龍貓動物醫院	彰化縣鹿港鎮彰鹿路七段639號	04-7773488	
彰化縣	叢林特殊寵物專科醫院	彰化縣員林市條和街350號1F	48333232	
彰化市/	快樂寵物醫院	彰化縣彰化市中山路三段155號	04-7384978	
				
嘉義市	中華動物醫院(嘉義分院)	嘉義市民生北路143號	05-222-5688	
嘉義市	嘉樂動物醫院	嘉義市民族路67號	05-2773122	
				
台南市	大灣動物醫院	台南市永康區大灣路610號	06-2732119	
台南市	山豬動物醫院	台南市安平區平通路525號	06-2991006	
台南市	廣慈動物醫院	台南市中西區府前路二段199號	06-2288126	
台南市	立安動物醫院	台南市中西區永華路一段186號	06-2286538	
台南市	中美獸醫院	台南市府連路314號	06-2379-123	
台南市	崇愛動物醫院	台南市東區崇明路463號(近崇明國小)	06-2604-733	
台南市	凱旋動物醫院	台南市北區公園路591-34號號	06 251 4727	24小時急診
				
高雄市	中興農十六動物醫院	高雄市鼓山區大順一路935號	07-5503532	
高雄市	亞幸動物醫院	高雄市苓雅區光華一路12之1號	07-7265577	
高雄市	蓋亞野生動物專科醫院	高雄市三民區建工路611號	07-3929353	
高雄市	藍天動物醫院	高雄市三民區博愛一路139號	07-3229200	
高雄市	大毛小毛動物醫院	高雄市三民區文濱路62號	07-7809102	
高雄市	聖弘綜合動物醫院	高雄市三民區鼎中路753之37號	07-3103002	
高雄市	梅西動物醫療中心	高雄市左營區文府路498號	07-3503840	
高雄市	肯亞動物專業醫院	高雄市鳳山區光復路一段26號	07-7105150	
高雄市	回生動物醫院	高雄市新興區新田路39號	07-2720-688	
高雄市	左營家畜醫院	高雄市左營大路437號	07-5832343	
高雄市	星羽動物醫院	高雄市林園區東林西路487號	07-6413808	
高雄市	博聯動物醫院	高雄市鼓山區中華一路350號	07-522-9169	
高雄市	本丸特殊寵物與貓專科醫院	高雄市左鎮區永豐路105號	07-721-1089	
高雄市	毛毛動物醫院	高雄市大社區三民路270號	07-3535316	
				
屏東縣	屏安獸醫院	屏東縣屏東市中山路61-12號	08-7336069	
屏東縣	肯亞特殊動物醫院	屏東縣屏東市業朝一路192號	08-7656655	
屏東縣	大同獸醫院	屏東縣屏東市民族路222號	08-7339215	
屏東縣	潮州國太動物醫院	屏東縣潮州鎮永昌路47巷3號	08-780-2856 	
花蓮市	中華動物醫院	花蓮市中華路325號之7	03-8335123	
花蓮市	蕙康動物醫院	花蓮縣花蓮市信義街113-1號	03-8352-122	
